,name_x,team,projTgts_2025,projRec_2025,projYds_2025,projTD_2025,projFantasyPts_2025
71,Gabe Davis,JAX,62.88,37.82,474.52,2.68,101.35199999999999
1,AJ Barner,SEA,61.9,44.24,428.92,2.36,101.292
127,Keon Coleman,BUF,62.9,34.0,463.14,3.44,100.954
142,Michael Wilson,ARI,61.56,40.58,461.28,2.34,100.74799999999999
91,James Cook,BUF,56.24,44.26,439.46,2.02,100.326
14,Antonio Gibson,NE,38.68,38.72,344.02,4.48,100.00200000000001
134,Mack Hollins,BUF,53.24,31.22,459.44,3.7,99.364
5,Adonai Mitchell,IND,57.46,33.88,457.7,3.28,99.33000000000001
41,Curtis Samuel,BUF,52.96,37.6,452.82,2.74,99.322
3,Aaron Jones Sr.,MIN,59.08,41.52,388.78,3.12,99.118
31,Chase Brown,CIN,52.98,43.14,381.34,2.86,98.434
185,Tre Tucker,LV,58.56,39.8,446.54,2.28,98.13400000000001
107,Jordan Whittington,LAR,48.02,36.48,448.72,2.78,98.03200000000001
46,Dalton Kincaid,BUF,61.3,38.64,426.4,2.7,97.48
165,Robert Woods,HOU,66.3,39.58,419.08,2.58,96.968
129,Kyle Juszczyk,SF,54.82,37.18,434.5,2.6,96.22999999999999
17,Bijan Robinson,ATL,54.16,44.66,410.88,1.68,95.82799999999999
80,Ja'Tavion Sanders,CAR,55.72,42.6,416.0,1.88,95.48
147,Nelson Agholor,BAL,56.56,36.68,464.96,2.04,95.41599999999998
29,Cedrick Wilson Jr.,NO,57.76,37.36,451.14,2.06,94.83399999999999
21,Brenton Strange,JAX,58.38,39.18,398.68,2.62,94.768
115,JuJu Smith-Schuster,KC,50.04,34.38,448.74,2.58,94.73400000000001
75,Grant Calcaterra,PHI,52.5,38.3,420.98,2.32,94.318
76,Greg Dortch,ARI,57.36,38.44,417.02,2.2,93.342
154,Parker Washington,JAX,59.82,34.62,436.04,2.48,93.10399999999998
56,Dawson Knox,BUF,51.3,29.92,456.14,2.92,93.05399999999999
190,Ty Johnson,BUF,48.34,33.56,435.78,2.64,92.97800000000001
7,Alexander Mattison,LV,49.92,43.04,393.4,1.64,92.22
146,Najee Harris,PIT,52.6,46.74,384.36,1.16,92.136
180,Tim Patrick,DET,53.06,34.94,413.14,2.64,92.094
172,Sterling Shepard,TB,59.4,36.46,400.4,2.52,91.62
16,Austin Hooper,NE,51.04,41.2,416.5,1.46,91.61
101,Joe Mixon,HOU,53.42,43.06,402.16,1.24,90.71600000000001
2,Aaron Jones Sr.,MIN,53.84,39.56,368.02,2.38,90.642
169,Samaje Perine,KC,57.44,42.82,374.14,1.64,90.07400000000001
78,Isaiah Likely,BAL,49.66,37.32,396.4,2.1,89.56
164,Rico Dowdle,DAL,53.32,43.58,382.54,1.22,89.154
122,Kalif Raymond,DET,45.52,33.18,428.06,2.04,88.22599999999998
183,Travis Etienne Jr.,JAX,58.24,48.28,353.2,0.7,87.8
