,name,team,gp,rec,tgts,recYds,recTD,recYdsPer,yac,firstDowns,avgPerRec,targets_per_game,year
1204,Stefon Diggs,BUF,17,107,160,"1,183",8,69.6,399,58,11.1,10.666666666666666,2023
1205,Stefon Diggs,HOU,8,47,64,496,3,62.0,185,31,10.6,5.333333333333333,2024
1206,Sterling Shepard,NYG,16,66,107,872,4,54.5,288,47,13.2,6.6875,2018
1207,Sterling Shepard,NYG,10,57,83,576,3,57.6,180,29,10.1,8.3,2019
1208,Sterling Shepard,NYG,12,66,90,656,3,54.7,210,37,9.9,7.5,2020
1209,Sterling Shepard,TB,14,32,51,334,1,23.9,99,16,10.4,3.1875,2024
1210,Steven Sims,WSH,16,34,56,310,4,19.4,167,18,9.1,3.5,2019
1211,Steven Sims,WSH,12,27,37,265,1,22.1,127,13,9.8,3.0833333333333335,2020
1212,Stone Smartt,LAC,15,16,19,208,0,13.9,66,11,13.0,1.1875,2024
1213,T.J. Hockenson,DET,12,32,59,367,2,30.6,202,19,11.5,4.916666666666667,2019
1214,T.J. Hockenson,DET,16,67,101,723,6,45.2,332,40,10.8,6.3125,2020
1215,T.J. Hockenson,MIN/DET,17,86,129,914,6,53.8,413,44,10.6,8.0625,2022
1216,T.J. Hockenson,MIN,15,95,127,960,5,64.0,336,48,10.1,7.9375,2023
1217,T.J. Hockenson,MIN,10,41,62,455,0,45.5,145,30,11.1,4.769230769230769,2024
1218,T.J. Yeldon,JAX,14,55,78,487,4,34.8,445,21,8.9,5.571428571428571,2018
1219,T.Y. Hilton,IND,14,76,120,"1,270",6,90.7,392,55,16.7,8.571428571428571,2018
1220,T.Y. Hilton,IND,10,45,68,501,5,50.1,213,24,11.1,6.8,2019
1221,T.Y. Hilton,IND,15,56,93,762,5,50.8,193,42,13.6,6.2,2020
1222,T.Y. Hilton,IND,10,23,37,331,3,33.1,71,15,14.4,3.7,2021
1223,Tajae Sharpe,TEN,16,26,47,316,2,19.8,84,22,12.2,2.9375,2018
1224,Tajae Sharpe,TEN,15,25,35,329,4,21.9,58,20,13.2,2.3333333333333335,2019
1225,Tajae Sharpe,ATL,15,25,37,230,0,15.3,69,14,9.2,2.466666666666667,2021
1226,Tank Dell,HOU,11,47,75,709,7,64.5,152,34,15.1,5.357142857142857,2023
1227,Tank Dell,HOU,14,51,81,667,3,47.6,164,35,13.1,4.764705882352941,2024
1228,Tanner Hudson,CIN,12,39,50,352,1,29.3,148,21,9.0,3.3333333333333335,2023
1229,Tarik Cohen,CHI,16,71,91,725,5,45.3,524,29,10.2,5.6875,2018
1230,Tarik Cohen,CHI,16,79,104,456,3,28.5,437,18,5.8,6.5,2019
1231,Tavon Austin,JAX,13,24,37,213,1,16.4,59,11,8.9,2.8461538461538463,2021
1232,Taylor Gabriel,CHI,16,67,93,688,2,43.0,221,31,10.3,5.8125,2018
1233,Taylor Gabriel,CHI,9,29,48,353,4,39.2,79,17,12.2,5.333333333333333,2019
1234,Taysom Hill,NO,16,19,22,234,6,14.6,152,14,12.3,1.375,2019
1235,Taysom Hill,NO,16,33,40,291,2,18.2,133,11,8.8,3.3333333333333335,2023
1236,Taywan Taylor,TEN,13,37,56,466,1,35.8,158,19,12.6,4.3076923076923075,2018
1237,Ted Ginn Jr.,NO,16,30,56,421,2,26.3,47,20,14.0,3.5,2019
1238,Tee Higgins,CIN,16,67,108,908,6,56.8,304,52,13.6,6.75,2020
1239,Tee Higgins,CIN,14,74,110,"1,091",6,77.9,290,53,14.7,7.857142857142857,2021
1240,Tee Higgins,CIN,16,74,109,"1,029",7,64.3,286,46,13.9,7.785714285714286,2022
1241,Tee Higgins,CIN,12,42,76,656,5,54.7,235,33,15.6,6.333333333333333,2023
1242,Tee Higgins,CIN,12,73,109,911,10,75.9,228,48,12.5,8.384615384615385,2024
1243,Terrace Marshall Jr.,CAR,14,28,47,490,1,35.0,132,23,17.5,4.7,2022
1244,Terrelle Pryor Sr.,BUF/NYJ,8,16,30,252,2,31.5,64,11,15.8,3.75,2018
1245,Terry McLaurin,WSH,14,58,93,919,7,65.6,220,43,15.8,6.642857142857143,2019
1246,Terry McLaurin,WSH,15,87,134,"1,118",4,74.5,490,51,12.9,8.933333333333334,2020
1247,Terry McLaurin,WSH,17,77,130,"1,053",5,61.9,317,47,13.7,7.647058823529412,2021
1248,Terry McLaurin,WSH,17,77,120,"1,191",5,70.1,394,56,15.5,7.5,2022
1249,Terry McLaurin,WSH,17,79,132,"1,002",4,58.9,350,47,12.7,8.25,2023
1250,Terry McLaurin,WSH,17,82,117,"1,096",13,64.5,292,56,13.4,7.3125,2024
1251,Tevin Coleman,ATL,16,32,44,276,5,17.3,269,15,8.6,2.75,2018
1252,Theo Johnson,NYG,12,29,43,331,1,27.6,149,16,11.4,2.6875,2024
1253,Theo Riddick,DET,14,61,74,384,0,27.4,416,16,6.3,5.285714285714286,2018
1254,Tim Patrick,DEN,16,23,41,315,1,19.7,112,15,13.7,2.5625,2018
1255,Tim Patrick,DEN,8,16,31,218,0,27.3,41,14,13.6,3.875,2019
1256,Tim Patrick,DEN,15,51,79,742,6,49.5,243,33,14.5,5.266666666666667,2020
1257,Tim Patrick,DEN,16,53,85,734,5,45.9,202,39,13.8,5.3125,2021
1258,Tim Patrick,DET,16,33,44,394,3,24.6,141,20,11.9,2.933333333333333,2024
1259,Todd Gurley,LAR,14,59,81,580,4,41.4,587,26,9.8,5.785714285714286,2018
1260,Todd Gurley,LAR,15,31,49,207,2,13.8,194,8,6.7,3.2666666666666666,2019
1261,Tommy Tremble,CAR,16,20,35,180,1,11.3,70,10,9.0,2.1875,2021
1262,Tommy Tremble,CAR,16,23,32,194,3,12.1,95,10,8.4,2.1333333333333333,2023
1263,Tommy Tremble,CAR,12,23,32,234,2,19.5,125,12,10.2,2.1333333333333333,2024
1264,Tony Pollard,DAL,15,39,46,337,0,22.5,341,15,8.6,3.066666666666667,2021
1265,Tony Pollard,DAL,16,39,55,371,3,23.2,347,18,9.5,3.4375,2022
1266,Tony Pollard,DAL,17,55,67,311,0,18.3,321,12,5.7,13.4,2023
1267,Tony Pollard,TEN,16,41,57,238,0,14.9,221,9,5.8,3.5625,2024
1268,Travis Etienne Jr.,JAX,17,35,45,316,0,18.6,354,16,9.0,2.8125,2022
1269,Travis Etienne Jr.,JAX,17,58,73,476,1,28.0,517,23,8.2,4.5625,2023
1270,Travis Etienne Jr.,JAX,15,39,52,254,0,16.9,296,13,6.5,4.0,2024
1271,Travis Fulgham,PHI,13,38,67,539,4,41.5,112,26,14.2,5.153846153846154,2020
1272,Travis Kelce,KC,16,103,150,"1,336",10,83.5,557,68,13.0,9.375,2018
1273,Travis Kelce,KC,16,97,136,"1,229",5,76.8,430,65,12.7,8.5,2019
1274,Travis Kelce,KC,15,105,145,"1,416",11,94.4,597,79,13.5,9.666666666666666,2020
1275,Travis Kelce,KC,16,92,134,"1,125",9,70.3,564,63,12.2,8.375,2021
1276,Travis Kelce,KC,17,110,152,"1,338",12,78.7,648,78,12.2,9.5,2022
1277,Travis Kelce,KC,15,93,121,984,5,65.6,469,50,10.6,7.5625,2023
1278,Travis Kelce,KC,16,97,133,823,3,51.4,340,46,8.5,7.823529411764706,2024
1279,Tre Tucker,LV,16,19,34,331,2,20.7,28,12,17.4,3.7777777777777777,2023
1280,Tre Tucker,LV,17,47,81,539,3,31.7,208,24,11.5,5.0625,2024
1281,Tre'Quan Smith,NO,15,28,44,427,5,28.5,102,23,15.3,2.933333333333333,2018
1282,Tre'Quan Smith,NO,11,18,25,234,5,21.3,114,17,13.0,2.272727272727273,2019
1283,Tre'Quan Smith,NO,14,34,50,448,4,32.0,130,22,13.2,3.5714285714285716,2020
1284,Tre'Quan Smith,NO,11,32,50,377,3,34.3,113,18,11.8,4.545454545454546,2021
1285,Tre'Quan Smith,NO,15,19,27,278,1,18.5,66,14,14.6,1.6875,2022
1286,Trent Sherfield Sr.,ARI,13,19,28,210,1,16.2,30,11,11.1,2.1538461538461537,2018
1287,Trent Sherfield Sr.,MIA,17,30,51,417,2,24.5,145,18,13.9,3.642857142857143,2022
1288,Trent Taylor,SF,14,26,41,215,1,15.4,95,11,8.3,2.9285714285714284,2018
1289,Trenton Irwin,CIN,9,15,23,231,4,25.7,59,12,15.4,1.4375,2022
1290,Trenton Irwin,CIN,16,25,32,316,1,19.8,110,15,12.6,2.1333333333333333,2023
1291,Trey Burton,CHI,16,54,76,569,6,35.6,221,29,10.5,4.75,2018
1292,Trey Burton,IND,13,28,47,250,3,19.2,86,14,8.9,3.6153846153846154,2020
1293,Trey McBride,ARI,16,29,39,265,1,16.6,117,12,9.1,2.4375,2022
1294,Trey McBride,ARI,17,81,106,825,3,48.5,439,42,10.2,6.625,2023
1295,Trey McBride,ARI,16,111,147,"1,146",2,71.6,513,63,10.3,8.647058823529411,2024
1296,Trey Palmer,TB,17,39,68,385,3,22.6,103,17,9.9,5.230769230769231,2023
1297,Treylon Burks,TEN,11,33,54,444,1,40.4,161,19,13.5,3.375,2022
1298,Treylon Burks,TEN,11,16,30,221,0,20.1,71,8,13.8,2.0,2023
1299,Troy Franklin,DEN,16,28,53,263,2,16.4,163,11,9.4,4.416666666666667,2024
1300,Tucker Kraft,GB,17,31,40,355,2,20.9,232,18,11.5,2.857142857142857,2023
1301,Tucker Kraft,GB,17,50,70,707,7,41.6,456,30,14.1,4.375,2024
1302,Tutu Atwell,LAR,13,18,35,298,1,22.9,60,11,16.6,2.1875,2022
1303,Tutu Atwell,LAR,16,39,67,483,3,30.2,104,26,12.4,8.375,2023
1304,Tutu Atwell,LAR,17,42,62,562,0,33.1,126,29,13.4,4.428571428571429,2024
1305,Ty Johnson,NYJ,16,34,55,372,2,23.3,334,20,10.9,3.4375,2021
1306,Ty Johnson,BUF,17,18,25,284,3,16.7,170,14,15.8,1.5625,2024
1307,Ty Montgomery II,BAL/GB,13,25,40,235,0,18.1,202,7,9.4,3.076923076923077,2018
1308,Tyjae Spears,TEN,17,52,70,385,1,22.6,460,17,7.4,4.375,2023
1309,Tyjae Spears,TEN,12,30,35,224,1,18.7,255,9,7.5,2.1875,2024
1310,Tyler Allgeier,ATL,17,18,23,193,1,11.4,217,6,10.7,1.4375,2023
1311,Tyler Boyd,CIN,14,76,108,"1,028",7,73.4,431,54,13.5,7.714285714285714,2018
1312,Tyler Boyd,CIN,16,90,148,"1,046",5,65.4,358,51,11.6,9.25,2019
1313,Tyler Boyd,CIN,15,79,110,841,4,56.1,363,43,10.6,7.333333333333333,2020
1314,Tyler Boyd,CIN,16,67,94,828,5,51.8,389,37,12.4,5.875,2021
1315,Tyler Boyd,CIN,16,58,82,762,5,47.6,249,41,13.1,6.3076923076923075,2022
1316,Tyler Boyd,CIN,17,67,98,667,2,39.2,279,28,10.0,6.533333333333333,2023
1317,Tyler Boyd,TEN,16,39,57,390,0,24.4,189,20,10.0,3.3529411764705883,2024
1318,Tyler Conklin,MIN,17,61,87,593,3,34.9,327,26,9.7,5.117647058823529,2021
1319,Tyler Conklin,NYJ,17,58,87,552,3,32.5,291,25,9.5,6.214285714285714,2022
1320,Tyler Conklin,NYJ,17,61,87,621,0,36.5,246,27,10.2,10.875,2023
1321,Tyler Conklin,NYJ,16,51,72,449,4,28.1,262,24,8.8,4.5,2024
1322,Tyler Eifert,CIN,16,43,63,436,3,27.3,115,24,10.1,3.9375,2019
1323,Tyler Eifert,JAX,15,36,60,349,2,23.3,105,22,9.7,4.0,2020
1324,Tyler Higbee,LAR,16,24,34,292,2,18.3,125,16,12.2,2.125,2018
1325,Tyler Higbee,LAR,15,69,89,734,3,48.9,403,36,10.6,5.933333333333334,2019
1326,Tyler Higbee,LAR,15,44,60,521,5,34.7,246,27,11.8,4.0,2020
1327,Tyler Higbee,LAR,15,61,85,560,5,37.3,281,33,9.2,5.666666666666667,2021
1328,Tyler Higbee,LAR,17,72,108,620,3,36.5,404,32,8.6,7.714285714285714,2022
1329,Tyler Higbee,LAR,15,47,70,495,2,33.0,246,26,10.5,5.384615384615385,2023
1330,Tyler Johnson,TB,17,36,55,360,0,21.2,137,14,10.0,3.235294117647059,2021
1331,Tyler Johnson,LAR,15,26,41,291,1,19.4,183,10,11.2,2.5625,2024
1332,Tyler Lockett,SEA,16,57,70,965,10,60.3,215,37,16.9,4.375,2018
1333,Tyler Lockett,SEA,16,82,110,"1,057",8,66.1,314,53,12.9,6.875,2019
1334,Tyler Lockett,SEA,16,100,132,"1,054",10,65.9,339,57,10.5,8.25,2020
1335,Tyler Lockett,SEA,16,73,107,"1,175",8,73.4,277,41,16.1,6.6875,2021
1336,Tyler Lockett,SEA,16,84,117,"1,033",9,64.6,274,50,12.3,7.3125,2022
1337,Tyler Lockett,SEA,17,79,122,894,5,52.6,209,47,11.3,8.133333333333333,2023
1338,Tyler Lockett,SEA,17,49,74,600,2,35.3,134,36,12.2,5.6923076923076925,2024
1339,Tyquan Thornton,NE,13,22,45,247,2,19.0,68,13,11.2,5.0,2022
1340,Tyreek Hill,KC,16,87,137,"1,479",12,92.4,489,60,17.0,8.5625,2018
1341,Tyreek Hill,KC,12,58,89,860,7,71.7,276,39,14.8,7.416666666666667,2019
1342,Tyreek Hill,KC,15,87,135,"1,276",15,85.1,430,57,14.7,9.0,2020
1343,Tyreek Hill,KC,17,111,159,"1,239",9,72.9,444,75,11.2,9.352941176470589,2021
1344,Tyreek Hill,MIA,17,119,170,"1,710",7,100.6,482,77,14.4,11.333333333333334,2022
1345,Tyreek Hill,MIA,16,119,171,"1,799",13,112.4,652,83,15.1,10.6875,2023
1346,Tyreek Hill,MIA,17,81,123,959,6,56.4,292,54,11.8,8.785714285714286,2024
1347,Tyrell Williams,LAC,16,41,65,653,5,40.8,186,30,15.9,4.0625,2018
1348,Tyrell Williams,OAK,14,42,64,651,6,46.5,204,33,15.5,4.571428571428571,2019
1349,Tyron Billy-Johnson,LAC,12,20,26,398,3,33.2,64,15,19.9,2.1666666666666665,2020
1350,Tyrone Tracy Jr.,NYG,17,38,53,284,1,16.7,281,13,7.5,3.533333333333333,2024
1351,Van Jefferson,LAR,16,19,31,220,1,13.8,48,11,11.6,1.9375,2020
1352,Van Jefferson,LAR,17,50,89,802,6,47.2,216,32,16.0,5.235294117647059,2021
1353,Van Jefferson,LAR,11,24,44,369,3,33.5,38,20,15.4,4.888888888888889,2022
1354,Van Jefferson,ATL/LAR,17,20,43,209,0,12.3,25,10,10.4,4.3,2023
1355,Van Jefferson,PIT,17,24,40,276,2,16.2,78,12,11.5,2.5,2024
1356,Vance McDonald,PIT,15,50,72,610,4,40.7,360,33,12.2,4.8,2018
1357,Vance McDonald,PIT,14,38,55,273,3,19.5,176,12,7.2,3.9285714285714284,2019
1358,Vernon Davis,WSH,14,25,36,367,2,26.2,181,16,14.7,2.5714285714285716,2018
1359,Virgil Green,LAC,16,19,27,210,1,13.1,103,10,11.1,1.6875,2018
1360,Vyncint Smith,NYJ,13,17,31,225,0,17.3,107,11,13.2,2.3846153846153846,2019
1361,Wan'Dale Robinson,NYG,6,23,31,227,1,37.8,126,13,9.9,2.066666666666667,2022
1362,Wan'Dale Robinson,NYG,15,60,78,525,1,35.0,287,29,8.8,5.2,2023
1363,Wan'Dale Robinson,NYG,17,93,140,699,3,41.1,361,36,7.5,8.235294117647058,2024
1364,Wendell Smallwood,PHI,16,28,35,230,2,14.4,213,9,8.2,2.1875,2018
1365,Will Dissly,SEA,6,23,27,262,4,43.7,81,14,11.4,4.5,2019
1366,Will Dissly,SEA,16,24,29,251,2,15.7,168,12,10.5,1.8125,2020
1367,Will Dissly,SEA,15,21,26,231,1,15.4,143,11,11.0,1.7333333333333334,2021
1368,Will Dissly,SEA,15,34,38,349,3,23.3,184,20,10.3,2.375,2022
1369,Will Dissly,LAC,15,50,64,481,2,32.1,303,24,9.6,6.4,2024
1370,Will Mallory,IND,12,18,26,207,0,17.3,89,11,11.5,2.0,2023
1371,William Fuller V,HOU,7,32,45,503,4,71.9,171,23,15.7,6.428571428571429,2018
1372,William Fuller V,HOU,11,49,71,670,3,60.9,227,26,13.7,6.454545454545454,2019
1373,William Fuller V,HOU,11,53,75,879,8,79.9,295,38,16.6,6.818181818181818,2020
1374,Willie Snead IV,BAL,16,62,95,651,1,40.7,275,37,10.5,5.9375,2018
1375,Willie Snead IV,BAL,16,31,46,339,5,21.2,140,20,10.9,2.875,2019
1376,Willie Snead IV,BAL,13,33,48,432,3,33.2,200,23,13.1,3.6923076923076925,2020
1377,Xavier Gipson,NYJ,17,21,38,229,0,13.5,109,9,10.9,3.4545454545454546,2023
1378,Xavier Legette,CAR,16,49,84,497,4,31.1,112,27,10.1,5.25,2024
1379,Xavier Worthy,KC,17,59,98,638,6,37.5,407,36,10.8,5.764705882352941,2024
