,name,team,gp,rec,tgts,recYds,recTD,recYdsPer,yac,firstDowns,avgPerRec,targets_per_game,year
1380,Zach Charbonnet,SEA,16,33,40,209,0,13.1,248,7,6.3,5.714285714285714,2023
1381,Zach Charbonnet,SEA,17,42,52,340,1,20.0,377,8,8.1,3.0588235294117645,2024
1382,Zach Ertz,PHI,16,116,156,"1,163",8,72.7,363,66,10.0,9.75,2018
1383,Zach Ertz,PHI,15,88,135,916,6,61.1,276,50,10.4,9.0,2019
1384,Zach Ertz,PHI,11,36,72,335,1,30.5,101,16,9.3,6.545454545454546,2020
1385,Zach Ertz,ARI/PHI,17,74,112,763,5,44.9,340,40,10.3,6.588235294117647,2021
1386,Zach Ertz,ARI,10,47,69,406,4,40.6,130,24,8.6,6.2727272727272725,2022
1387,Zach Ertz,WSH,17,66,91,654,7,38.5,187,38,9.9,5.6875,2024
1388,Zach Pascal,IND,16,27,46,268,2,16.8,79,15,9.9,2.875,2018
1389,Zach Pascal,IND,16,41,72,607,5,37.9,234,29,14.8,4.5,2019
1390,Zach Pascal,IND,16,44,71,629,5,39.3,240,29,14.3,4.4375,2020
1391,Zach Pascal,IND,16,38,69,384,3,24.0,121,15,10.1,4.3125,2021
1392,Zack Moss,BUF,13,23,32,197,1,15.2,200,12,8.6,2.4615384615384617,2021
1393,Zay Flowers,BAL,16,77,108,858,5,53.6,391,41,11.1,7.714285714285714,2023
1394,Zay Flowers,BAL,17,74,116,"1,059",4,62.3,463,48,14.3,6.823529411764706,2024
1395,Zay Jones,BUF,16,56,102,652,7,40.8,104,33,11.6,6.375,2018
1396,Zay Jones,BUF/OAK,15,27,45,216,0,14.4,77,10,8.0,3.0,2019
1397,Zay Jones,LV,17,47,70,546,1,32.1,170,29,11.6,4.117647058823529,2021
1398,Zay Jones,JAX,16,82,121,823,5,51.4,271,44,10.0,7.117647058823529,2022
1399,Zay Jones,JAX,9,34,64,321,2,35.7,51,14,9.4,4.0,2023
