,name,team,qbr,plays,epa,sack,raw,year
95,Jimmy Garoppolo,SF,60.8,593,69.3,-15.9,62.1,2019
96,Jimmy Garoppolo,SF,59.2,530,57.8,-11.7,58.0,2021
97,Jimmy Garoppolo,SF,56.3,367,38.5,-9.2,58.3,2022
98,Joe Burrow,CIN,48.5,510,47.8,-13.3,46.8,2020
99,Joe Burrow,CIN,60.2,642,79.4,-22.9,63.5,2021
100,Joe Burrow,CIN,60.8,750,79.6,-16.0,59.0,2022
101,Joe Burrow,CIN,52.4,431,38.0,-11.2,51.1,2023
102,Joe Burrow,CIN,74.7,788,122.6,-21.9,74.4,2024
103,Joe Flacco,BAL,54.8,441,43.4,-5.8,56.3,2018
104,Jordan Love,GB,62.9,699,82.2,-12.6,63.1,2023
105,Jordan Love,GB,69.3,501,58.0,-5.8,66.2,2024
106,Josh Allen,BUF,49.8,461,35.6,-9.7,49.8,2018
107,Josh Allen,BUF,49.4,639,51.4,-17.4,47.9,2019
108,Josh Allen,BUF,76.6,729,128.6,-11.0,77.3,2020
109,Josh Allen,BUF,66.3,828,110.8,-10.5,67.4,2021
110,Josh Allen,BUF,73.4,746,120.1,-12.1,75.7,2022
111,Josh Allen,BUF,70.3,744,102.7,-9.5,68.6,2023
112,Josh Allen,BUF,77.3,642,101.0,-5.5,76.6,2024
113,Josh Rosen,ARI,24.1,491,7.9,-17.0,24.7,2018
114,Joshua Dobbs,MIN,52.7,556,46.7,-13.3,51.7,2023
115,Justin Fields,CHI,31.4,397,13.7,-15.3,31.0,2021
116,Justin Fields,CHI,56.3,556,59.2,-20.9,58.5,2022
117,Justin Fields,CHI,46.9,567,43.6,-18.8,48.6,2023
118,Justin Herbert,LAC,62.6,699,102.3,-13.3,67.6,2020
119,Justin Herbert,LAC,70.9,808,120.3,-12.9,71.9,2021
120,Justin Herbert,LAC,60.2,812,95.2,-15.5,61.7,2022
121,Justin Herbert,LAC,64.8,564,69.8,-13.1,63.6,2023
122,Justin Herbert,LAC,64.8,640,82.8,-15.2,67.5,2024
123,Kenny Pickett,PIT,53.6,496,43.2,-9.6,52.4,2022
124,Kenny Pickett,PIT,38.9,389,17.6,-11.3,35.4,2023
125,Kirk Cousins,MIN,59.5,718,71.8,-17.5,58.2,2018
126,Kirk Cousins,MIN,60.4,537,59.0,-10.9,61.7,2019
127,Kirk Cousins,MIN,55.8,629,76.9,-18.2,58.7,2020
128,Kirk Cousins,MIN,58.3,650,74.0,-13.3,57.7,2021
129,Kirk Cousins,MIN,52.3,771,71.5,-17.0,54.1,2022
130,Kirk Cousins,MIN,64.0,364,46.4,-7.6,65.0,2023
131,Kirk Cousins,ATL,50.4,528,46.0,-11.9,51.1,2024
132,Kyle Allen,CAR,38.3,588,28.0,-19.9,39.7,2019
133,Kyler Murray,ARI,57.7,709,71.6,-17.8,58.0,2019
134,Kyler Murray,ARI,61.9,763,99.9,-11.8,61.3,2020
135,Kyler Murray,ARI,63.2,632,74.1,-13.3,61.5,2021
136,Kyler Murray,ARI,53.6,512,49.0,-10.3,55.3,2022
137,Kyler Murray,ARI,48.0,354,27.0,-6.6,49.0,2023
138,Kyler Murray,ARI,66.5,693,82.9,-12.1,64.5,2024
139,Lamar Jackson,BAL,42.6,338,27.7,-6.8,46.3,2018
